"Year","United States"
"1960",3384200
"1961",3488000
"1962",3752200
"1963",3109500
"1964",4564600
"1965",4739400
"1966",5223500
"1967",5903400
"1968",6720200
"1969",7410900
"1970",8098000
"1971",8588200
"1972",8248800
"1973",8718100
"1974",10253400
"1975",11292400
"1976",11349700
"1977",10984500
"1978",11209000
"1979",12249500
"1980",13408300
"1981",13423800
"1982",12974400
"1983",12108630
"1984",11881755
"1985",12430357
"1986",13211869
"1987",13508708
"1988",13923086
"1989",14251449
"1990",14475613
"1991",14872883
"1992",14438191
"1993",14144794
"1994",13989543
"1995",13862727
"1996",13493863
"1997",13194571
"1998",12485714
"1999",11634378
"2000",11608070

Crimes recorded by the police: historical data (total crime) 1950-2000

